ds,yhat,yhat_lower,yhat_upper
2024-11-25,2175.7381989678424,1657.4419461107634,2760.3608269562774
2024-11-26,2175.8924179858345,1637.1354735182488,2749.985026698268
2024-11-27,2176.4008832465256,1630.2585816118924,2745.563459666591
2024-11-28,2176.5126440094664,1624.7309039168717,2754.1852282882423
2024-11-29,2175.7766763854097,1621.671836529153,2728.8267315680687
2024-11-30,2174.447142158309,1614.319214017164,2745.374758843156
2024-12-01,2173.2439727834367,1635.6277117009734,2754.9316893540235
2024-12-02,2172.7349884580003,1624.7501317114813,2748.9638814575687
2024-12-03,2172.9424601493465,1590.852532852844,2754.8108307347948
2024-12-04,2173.515625191859,1611.6438950089066,2753.427610958504
2024-12-05,2174.229208536037,1598.0026627959837,2757.3826039713035
2024-12-06,2175.25221472219,1605.1100430697952,2753.9270029369663
2024-12-07,2176.8924808928223,1606.567923103346,2780.2939402114407
2024-12-08,2179.0909285131697,1597.4811742292798,2748.981507999727
2024-12-09,2181.2338972327348,1598.6206137977867,2744.806188017186
2024-12-10,2182.5599514522146,1613.4523305016376,2779.6780314735934
2024-12-11,2182.8337313906786,1588.6134372588108,2774.184407479798
2024-12-12,2182.643943205238,1589.4492668782111,2776.0383434113214
2024-12-13,2182.9906806907716,1602.1787815805972,2791.1481885861017
2024-12-14,2184.48759338225,1575.2414289412702,2785.7301911730788
2024-12-15,2186.887422155401,1588.4358232527195,2814.789455839462
2024-12-16,2189.363390196936,1551.0954192943784,2778.378596368119
2024-12-17,2191.287876391467,1565.3864246316803,2833.12654840792
2024-12-18,2192.791441063351,1576.1559977775285,2829.115774470352
2024-12-19,2194.5953488020396,1590.657173046357,2808.5264275566083
2024-12-20,2197.29351895715,1577.82566947084,2820.6984032739824
2024-12-21,2200.7707565634955,1581.0065074276818,2832.6281355677856
2024-12-22,2204.302649040075,1590.2523464719955,2835.6148816545196
2024-12-23,2207.2290354746424,1577.2915216625915,2846.8079176999963
2024-12-24,2209.5520768187607,1570.935243310061,2867.5155788889683
2024-12-25,2211.8925838249443,1586.6290725697718,2845.9053231507537
2024-12-26,2214.856540830659,1579.9079954803149,2857.6365463311645
2024-12-27,2218.422013725879,1580.2469442126783,2876.0184174708525
2024-12-28,2221.9260673708586,1589.9450812411387,2886.568212513383
2024-12-29,2224.65321631995,1570.105600238051,2871.532732475956
2024-12-30,2226.462997813342,1567.6879669282678,2905.6259032229236
2024-12-31,2227.8793624379573,1600.2040043616719,2888.9308853125817
2025-01-01,2229.5950572657916,1586.8452112174907,2891.7527183284196
2025-01-02,2231.893822027476,1594.4474964873195,2907.9419567725477
2025-01-03,2234.5332600399415,1561.3469576922594,2885.0782021823484
2025-01-04,2237.1430134321176,1581.159646789824,2906.8119414834478
2025-01-05,2239.6750448466883,1584.2077554370949,2898.6205101980145
2025-01-06,2242.412407689078,1569.980679806122,2900.045128907529
2025-01-07,2245.5234826890587,1547.244083015277,2909.160398726198
2025-01-08,2248.6492627903194,1565.8631705330258,2945.6076954161267
